iter	Passed	Remaining
732	5672	2066
733	5679	2058
734	5686	2050
735	5693	2042
736	5701	2034
737	5708	2026
738	5715	2018
739	5721	2010
740	5729	2002
741	5735	1994
742	5743	1986
743	5750	1978
744	5757	1970
745	5764	1962
746	5771	1954
747	5778	1946
748	5785	1938
749	5793	1931
750	5800	1923
751	5807	1915
752	5814	1907
753	5821	1899
754	5828	1891
755	5836	1883
756	5843	1875
757	5851	1868
758	5861	1861
759	5869	1853
760	5880	1846
761	5889	1839
762	5903	1833
763	5916	1827
764	5925	1820
765	5932	1812
766	5939	1804
767	5947	1796
768	5954	1788
769	5961	1780
770	5968	1772
771	5974	1764
772	5980	1756
773	5987	1748
774	5994	1740
775	6001	1732
776	6008	1724
777	6015	1716
778	6022	1708
779	6029	1700
780	6036	1692
781	6050	1686
782	6064	1680
783	6076	1674
784	6085	1666
785	6092	1658
786	6100	1650
787	6107	1643
788	6114	1635
789	6121	1627
790	6128	1619
791	6138	1612
792	6146	1604
793	6157	1597
794	6169	1591
795	6179	1583
796	6186	1575
797	6193	1567
798	6200	1559
799	6207	1551
800	6214	1543
801	6221	1536
802	6229	1528
803	6237	1520
804	6244	1512
805	6251	1504
806	6258	1496
807	6265	1488
808	6271	1480
809	6278	1472
810	6286	1465
811	6293	1457
812	6301	1449
813	6308	1441
814	6315	1433
815	6321	1425
816	6326	1417
817	6333	1409
818	6339	1401
819	6345	1392
820	6351	1384
821	6357	1376
822	6363	1368
823	6369	1360
824	6377	1352
825	6383	1344
826	6391	1336
827	6398	1329
828	6405	1321
829	6414	1313
830	6423	1306
831	6431	1298
832	6440	1291
833	6448	1283
834	6455	1275
835	6462	1267
836	6469	1259
837	6477	1252
838	6484	1244
839	6498	1237
840	6511	1231
841	6525	1224
842	6534	1216
843	6541	1209
844	6548	1201
845	6555	1193
846	6562	1185
847	6569	1177
848	6576	1169
849	6583	1161
850	6589	1153
851	6596	1145
852	6603	1138
853	6611	1130
854	6618	1122
855	6625	1114
856	6631	1106
857	6639	1098
858	6648	1091
859	6655	1083
860	6668	1076
861	6680	1069
862	6689	1061
863	6696	1054
864	6703	1046
865	6710	1038
866	6718	1030
867	6731	1023
868	6745	1016
869	6758	1009
870	6771	1002
871	6780	995
872	6786	987
873	6793	979
874	6801	971
875	6808	963
876	6819	956
877	6829	949
878	6837	941
879	6843	933
880	6850	925
881	6855	917
882	6861	909
883	6868	901
884	6876	893
885	6883	885
886	6890	877
887	6897	869
888	6904	862
889	6912	854
890	6924	847
891	6932	839
892	6940	831
893	6947	823
894	6953	815
895	6960	807
896	6969	800
897	6976	792
898	6984	784
899	6991	776
900	6998	768
901	7005	761
902	7012	753
903	7019	745
904	7026	737
905	7033	729
906	7040	721
907	7047	714
908	7054	706
909	7065	698
910	7078	691
911	7092	684
912	7103	676
913	7110	669
914	7117	661
915	7124	653
916	7132	645
917	7144	638
918	7158	630
919	7172	623
920	7185	616
921	7194	608
922	7201	600
923	7209	592
924	7215	585
925	7223	577
926	7236	569
927	7250	562
928	7263	555
929	7278	547
930	7293	540
931	7305	533
932	7313	525
933	7318	517
934	7327	509
935	7334	501
936	7340	493
937	7345	485
938	7351	477
939	7357	469
940	7362	461
941	7368	453
942	7375	445
943	7382	437
944	7389	430
945	7396	422
946	7403	414
947	7410	406
948	7417	398
949	7424	390
950	7430	382
951	7436	374
952	7442	367
953	7447	359
954	7453	351
955	7460	343
956	7467	335
957	7474	327
958	7481	319
959	7488	312
960	7494	304
961	7500	296
962	7508	288
963	7515	280
964	7524	272
965	7532	265
966	7545	257
967	7555	249
968	7565	242
969	7572	234
970	7579	226
971	7586	218
972	7593	210
973	7600	202
974	7607	195
975	7616	187
976	7623	179
977	7633	171
978	7646	164
979	7656	156
980	7664	148
981	7671	140
982	7677	132
983	7684	124
984	7691	117
985	7698	109
986	7705	101
987	7712	93
988	7719	85
989	7726	78
990	7733	70
991	7740	62
992	7747	54
993	7754	46
994	7762	39
995	7768	31
996	7775	23
997	7783	15
998	7793	7
999	7806	0
