iter	Passed	Remaining
212	12277	45362
213	12330	45290
214	12385	45220
215	12440	45152
216	12503	45116
217	12558	45050
218	12613	44981
219	12667	44912
220	12720	44840
221	12774	44767
222	12827	44695
223	12881	44623
224	12934	44552
225	12987	44478
226	13041	44410
227	13095	44341
228	13150	44274
229	13199	44188
230	13256	44129
231	13311	44066
232	13366	43999
233	13421	43934
234	13497	43939
235	13551	43869
236	13605	43801
237	13661	43738
238	13715	43670
239	13766	43594
240	13820	43526
241	13875	43462
242	13929	43394
243	13982	43323
244	14037	43258
245	14091	43190
246	14145	43124
247	14199	43057
248	14264	43023
249	14319	42957
250	14373	42892
251	14426	42822
252	14478	42748
253	14529	42672
254	14584	42609
255	14639	42545
256	14692	42475
257	14747	42413
258	14800	42342
259	14855	42280
260	14910	42218
261	14964	42152
262	15019	42088
263	15071	42017
264	15125	41951
265	15178	41882
266	15232	41816
267	15300	41792
268	15354	41725
269	15430	41719
270	15485	41655
271	15539	41590
272	15593	41525
273	15649	41465
274	15704	41402
275	15759	41340
276	15812	41272
277	15871	41221
278	15926	41158
279	15989	41116
280	16043	41051
281	16099	40992
282	16165	40957
283	16243	40952
284	16298	40889
285	16353	40825
286	16408	40764
287	16462	40698
288	16517	40636
289	16571	40571
290	16625	40507
291	16681	40446
292	16737	40386
293	16792	40324
294	16847	40262
295	16898	40189
296	16954	40130
297	17008	40067
298	17060	39998
299	17115	39936
300	17176	39887
301	17227	39817
302	17303	39802
303	17357	39739
304	17411	39674
305	17465	39612
306	17521	39551
307	17575	39486
308	17629	39424
309	17706	39410
310	17771	39372
311	17843	39346
312	17909	39308
313	17961	39241
314	18016	39177
315	18069	39112
316	18124	39049
317	18178	38985
318	18232	38923
319	18296	38880
320	18354	38824
321	18427	38800
322	18491	38757
323	18579	38763
324	18634	38703
325	18690	38641
326	18745	38579
327	18836	38592
328	18908	38565
329	18963	38501
330	19011	38424
331	19062	38354
332	19116	38290
333	19181	38247
334	19234	38182
335	19304	38150
336	19367	38103
337	19423	38042
338	19476	37975
339	19529	37909
340	19584	37847
341	19637	37782
342	19714	37761
343	19768	37698
344	19827	37643
345	19874	37566
346	19924	37494
347	19976	37427
348	20046	37392
349	20104	37337
350	20159	37275
351	20214	37212
352	20266	37145
353	20320	37082
354	20379	37027
355	20445	36986
356	20521	36962
357	20577	36900
358	20654	36878
359	20707	36813
360	20761	36749
361	20828	36709
362	20883	36646
363	20937	36583
364	21012	36556
365	21067	36494
366	21118	36425
367	21194	36399
368	21247	36334
369	21310	36285
370	21383	36253
371	21441	36196
372	21495	36132
373	21549	36068
374	21603	36006
375	21681	35982
376	21736	35920
377	21791	35857
378	21845	35794
379	21900	35731
380	21954	35668
381	22008	35604
382	22063	35543
383	22117	35479
384	22163	35404
385	22217	35340
386	22291	35309
387	22351	35255
388	22405	35192
389	22459	35128
390	22513	35065
391	22566	35001
392	22612	34925
393	22667	34863
394	22721	34801
395	22789	34759
396	22859	34720
397	22918	34666
398	22974	34605
399	23029	34543
